"Anatomical Strucures, Cell Types and Biomarkers Table for Brain v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Song-Lin Ding; Jeremy A. Miller; Amy Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-7072-5272; 0000-0003-4549-588X; 0000-0003-2540-1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,David Osumi-Sutherland; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,10.1002/cne.24080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM264.CCRF.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,All Gene Biomarkers,BG/1,BG/1/LABEL,BG/1/ID,BG/2,BG/2/LABEL,BG/2/ID,BG/3,BG/3/LABEL,BG/3/ID,BG/4,BG/4/LABEL,BG/4/ID,BG/5,BG/5/LABEL,BG/5/ID,BG/6,BG/6/LABEL,BG/6/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP SMOC1,,,"ANGPT1, SMOC1, VIP",ANGPT1,angiopoietin 1,HGNC:484,SMOC1,,,VIP,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-5 VIP HS3ST3A1,,,"ABI3BP, IQGAP2, SLC22A3",ABI3BP,ABI family member 3 binding protein,HGNC:17265,IQGAP2,,,SLC22A3,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L5-6 VIP COL4A3,,,"ABI3BP, KCTD12, PARD3B",ABI3BP,ABI family member 3 binding protein,HGNC:17265,KCTD12,,,PARD3B,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP CD27-AS1,,,"ANKFN1, EGFEM1P, IQGAP2",ANKFN1,,,EGFEM1P,,,IQGAP2,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2-5 VIP BSPRY,,,"LOC101927078, PDE3A, ST18",LOC101927078,,,PDE3A,,,ST18,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2-5 VIP SOX11,,,"ADAMTSL1, HTR2C, THSD7B",ADAMTSL1,,,HTR2C,,,THSD7B,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-6 VIP ZIM2-AS1,,,"CXCL14, PENK",CXCL14,,,PENK,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP PHLDB3,,,"EGF, THSD7B",EGF,,,THSD7B,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP LINC01013,,,"DACH2, SRGAP1, THSD7B",DACH2,,,SRGAP1,,,THSD7B,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-6 VIP UG0898H09,,,"GALNT10, LINC01411, LOC105373454",GALNT10,,,LINC01411,,,LOC105373454,,,,,,,,,,,,,,,,,,
