,CD79a,FOXP3,CDX2,CD8,p53,GATA3,CD21,PD-L1,Ki67,CD45,CD30,PAX5,HLA-DR,CD5,CD2,CD45RA,CD4,PD-1,MUC-1,BCL2,CD56,Cytokeratin7,CD25,VISTA,Hep-Par-1,CD11c,IRF4,CD20,EGFR,IDO-1,GranzymeB,MelanA,OX-40,Vimentin,Synaptophysin,CD117(c-kit),Na-K-ATPase,CD194,CD57,Pan-Cytokeratin,CD68,CD3,SMA,CD34,EpCAM,CollagenIV,CD45RO,Podoplanin,CD15,CD7,CD163,ChromograninA,CD31,CD123,MMP9,CD138,CD38,Hyaluronan
394,532.4104,942.3515,411.1451,373.517,1100.8163,91.29932,0.5941043,231.88435,1431.6621,225.10204,637.7233,1338.0884,6.9750566,1036.56,228.86848,212.48299,1770.4558,907.65533,0.0,35.746033,203.35147,0.0,1751.0771,772.0091,29.183674,486.2449,247.77098,9.179138,923.28796,217.38095,3078.3901,2066.805,1232.381,30.417234,1.6235827,348.3923,6.1201816,1135.1859,315.60544,0.0045351475,6094.5376,747.1179,4.4217687,4.2471657,2352.186,8.648526,6557.145,75.87982,1534.3469,4663.975,2450.0317,3.489796,3.2743764,16753.734,6.505669,25.185942,1927.5306,1148.517
395,817.065,752.00494,228.39508,685.5399,893.17535,73.17537,19.240395,221.80591,45.1734,145.31528,223.96355,650.5872,23.312315,393.8059,101.67882,214.89064,407.31033,226.32709,20.67192,55.60197,142.10837,3.1665025,1064.7133,546.9074,84.18621,103.25517,188.24237,8.811823,336.0256,115.944824,281.7596,982.7409,900.3872,1536.6326,5.585222,240.65419,20.473892,581.05023,155.2532,3.6029556,417.52216,298.26108,8.95665,50.7468,849.7419,24.084728,1079.9025,39.38325,1236.1172,2167.5725,161.82759,3.0738916,12.360591,6637.193,56.41872,15.287684,1257.0079,2307.1055
396,236.01765,142.35883,500.94705,235.5853,853.48236,85.34706,10.258823,349.1647,705.9441,239.36765,731.41766,981.1206,76.54706,1406.2147,218.6706,90.738235,1672.0146,550.21765,1.4205883,78.47941,183.60588,3.682353,749.7618,493.20294,100.28236,296.1,148.40883,7.535294,1115.5824,217.62941,1219.2677,1547.7794,1025.4735,610.7118,72.52941,318.62646,66.670586,797.9853,340.87646,0.7588235,4648.506,735.83826,63.085293,179.20882,2048.2175,103.141174,5268.035,94.09706,700.9059,3651.4824,5203.291,5.4852943,95.24412,14568.338,67.70588,143.77353,1511.3059,1808.7206
397,546.435,207.19363,539.2572,500.90463,703.9422,78.197975,17.783237,361.3208,46.53613,206.3107,501.4682,981.5058,29.17341,778.8266,153.75867,162.1315,3243.2139,197.14885,1.8251445,88.40029,165.64017,2.7109826,1594.2456,779.47253,95.302025,215.47255,338.9523,0.533237,778.00867,194.29768,115.54191,1031.8873,1083.5765,2140.789,16.569365,263.41183,17.473988,1064.9277,259.1185,0.5433526,9981.935,310.237,4.515896,92.287575,839.90607,22.929192,2890.6792,66.11994,1844.2009,2378.2441,11079.468,9.263006,43.393063,8997.874,49.93931,62.242775,2091.1287,2468.3396
398,1459.8518,688.0292,318.83548,638.7585,1175.3291,106.89498,11.674446,365.36523,285.52277,414.4831,656.8285,1721.1622,26.964994,1087.8168,208.6266,329.1937,1040.0385,455.13654,0.109684944,56.8063,216.67795,0.5705951,1407.8623,592.2859,100.09918,239.42708,231.14935,1.4679114,991.5531,203.51926,1307.8063,1620.1003,913.8495,230.32323,4.4772463,302.3244,12.0,1004.45856,357.4481,0.18086347,3349.9404,539.37573,15.810968,91.89031,1541.3816,17.500584,6048.0806,82.21937,1407.6721,3461.798,1107.3104,0.85530925,23.019836,13753.629,29.787632,32.651108,2026.2357,1586.4866
399,1536.5242,1718.9651,307.40082,863.46765,1264.0544,77.01234,11.661871,250.47174,152.80986,498.60535,376.83557,1724.7996,9.713258,756.50977,185.29393,331.84274,955.9928,373.00513,0.12846865,133.03905,235.04831,1.8047277,1980.369,670.8921,65.48099,150.23021,281.75952,0.62487155,1693.9558,179.39157,1922.0082,1512.9167,883.36383,1518.0802,5.1007195,265.25076,4.4573483,1099.5807,253.90648,0.17163412,6032.814,687.9671,22.181911,113.29394,1076.2826,7.1408014,5203.305,60.231243,2880.8972,3124.7288,4265.0054,1.2959918,31.2333,10029.671,160.24358,17.97225,2385.6023,1545.3381
400,315.87543,724.8316,192.07036,320.35065,698.3391,66.65859,14.158016,199.76817,2085.0322,81.52134,249.94925,1125.5698,7.490196,404.49713,119.1338,190.80507,376.4429,350.00345,1.083045,193.34026,284.14648,1.0149943,2541.1406,1593.4003,45.987312,47.032295,316.92734,0.6113033,406.0715,159.5767,920.1534,1019.15686,1477.7382,5301.0,9.099193,642.92847,3.2733564,1782.8131,179.68858,0.6666667,2875.7786,396.27106,2217.1672,236.40024,1121.8328,24.672434,1968.925,36.824684,2588.3794,1498.3552,627.0796,8.733564,20.244522,6333.759,11.397923,11.568627,2131.6782,1457.4106
401,614.24384,508.12646,288.60056,80.545044,386.89444,46.710648,8.164695,106.65605,47.027298,34.741585,121.11101,492.33667,29.083712,219.83986,63.23203,75.56779,174.34032,163.81802,2.2975433,30.578709,95.82075,2.033667,318.5523,448.1383,36.173794,40.373066,161.05368,14.642403,130.01364,72.254776,181.36215,610.9354,749.4386,795.5851,9.865332,213.39218,24.424023,103.68244,98.8535,3.3484986,378.58508,219.9454,3.9863513,44.846226,829.6242,22.959053,3234.233,22.948135,296.47406,1566.2075,249.04732,0.82711554,14.258417,6662.1846,22.983622,16.90264,1008.3276,1405.7925
402,3635.1223,487.27948,303.97598,1046.6266,658.0,76.9476,16.62227,237.69214,19.320961,703.33185,361.94104,1123.7577,22.456331,739.9869,136.6441,543.9629,396.77075,201.28384,1.172489,92.77729,171.05458,0.6310044,1394.4869,471.93668,66.25109,126.72489,180.56769,0.008733625,741.25543,148.05458,367.31006,1091.417,542.40393,2868.8057,4.9541483,224.8559,5.587336,1196.1921,214.91704,0.0,2885.3167,268.25983,10.368996,61.104805,781.97815,8.975983,6191.4346,45.746723,1687.9629,2043.3624,207.9869,1.9344978,13.233624,7865.795,26.578602,23.004366,1963.3428,1922.2292
403,64.48853,661.1975,554.769,177.28218,1307.1129,133.71428,7.749559,647.8624,1233.8342,46.77425,547.93475,1265.3898,0.005291005,1082.8712,207.60493,66.5485,2987.97,548.0635,0.0,138.74251,241.59259,0.0,1966.171,738.55554,79.12522,150.3933,275.82364,0.0,988.7972,216.4656,0.0,1825.7866,887.86774,245.2434,0.6137566,322.61023,0.6878307,1029.9136,419.3157,0.0,4643.358,422.91534,6.3051147,89.20282,2089.642,0.6031746,7699.848,52.257496,13.536155,3892.8079,9621.776,0.0,4.881834,17555.576,0.1005291,10.280423,2385.1816,2270.7444
